full_name,course_name,present_days,total_days
"Ritika Verma","Heat Transfer",1,1
"Ananya Reddy","Heat Transfer",1,1
"Neha Choudhary","Heat Transfer",1,1
"Pooja Choudhary","Heat Transfer",0,1
"Nikhil Agarwal","Heat Transfer",2,2
"Pooja Sharma","Heat Transfer",0,1
"Arjun Khanna","Heat Transfer",0,1
"Krishna Sharma","Heat Transfer",1,1
"Neha Kapoor","Heat Transfer",1,1
"Varun Kapoor","Heat Transfer",1,1
"Ritesh Pandey","Heat Transfer",1,1
"Ritika Thakur","Heat Transfer",1,1
"Rohan Verma","Heat Transfer",1,1
"Ritika Reddy","Heat Transfer",1,1
"Vivaan Jain","Heat Transfer",1,1
"Priya Thakur","Heat Transfer",1,1
"Aarav Patel","Heat Transfer",1,1
"Rahul Thakur","Heat Transfer",1,1
"Rahul Verma","Heat Transfer",1,1
"Om Sinha","Heat Transfer",1,1
"Kunal Khanna","Circuit Theory",1,1
"Om Patel","Circuit Theory",1,1
"Neha Nair","Circuit Theory",1,2
"Harsh Thakur","Circuit Theory",2,2
"Om Agarwal","Circuit Theory",1,1
"Rahul Das","Circuit Theory",1,2
"Aman Menon","Circuit Theory",1,1
"Ishaan Patel","Circuit Theory",1,1
"Pooja Rao","Circuit Theory",2,3
"Meera Choudhary","Circuit Theory",0,1
"Siddharth Kapoor","Circuit Theory",1,1
"Rahul Thakur","Circuit Theory",0,1
"Harsh Sharma","Circuit Theory",1,1
"Ritika Iyer","Circuit Theory",2,2
"Pooja Kapoor","Circuit Theory",1,1
"Neha Ghosh","Circuit Theory",1,1
"Sneha Dubey","Circuit Theory",2,2
"Diya Patel","Circuit Theory",1,1
"Kavya Das","Circuit Theory",1,1
"Ananya Agarwal","Circuit Theory",2,2
"Aman Iyer","Circuit Theory",1,1
"Ananya Sinha","Circuit Theory",1,1
"Pooja Verma","Circuit Theory",1,1
"Pooja Thakur","Circuit Theory",1,1
"Priya Verma","Circuit Theory",1,1
"Aman Nair","Circuit Theory",0,2
"Om Gupta","Circuit Theory",0,1
"Aditya Ghosh","Circuit Theory",1,1
"Arjun Joshi","Circuit Theory",1,1
"Yash Sharma","Circuit Theory",1,1
"Sai Kapoor","Circuit Theory",3,3
"Rohan Patel","Circuit Theory",1,2
"Ritesh Iyer","Circuit Theory",1,1
"Mohit Joshi","Circuit Theory",2,2
"Arjun Das","Circuit Theory",1,1
"Om Das","Circuit Theory",1,1
"Harsh Iyer","Circuit Theory",1,1
"Ritika Menon","Circuit Theory",1,1
"Priya Das","Circuit Theory",0,2
"Kunal Verma","Circuit Theory",1,1
"Manav Sharma","Circuit Theory",1,1
"Kunal Nair","Circuit Theory",1,1
"Vivaan Jain","Circuit Theory",1,1
"Krishna Rao","Circuit Theory",3,3
"Arjun Khanna","Circuit Theory",1,1
"Harsh Sinha","Circuit Theory",0,1
"Meera Patel","Circuit Theory",1,1
"Rahul Jain","Circuit Theory",1,1
"Pooja Menon","Circuit Theory",1,1
"Siddharth Khanna","Circuit Theory",1,1
"Vivaan Sharma","Circuit Theory",0,1
"Sneha Choudhary","Circuit Theory",2,2
"Aditi Verma","Circuit Theory",1,1
"Ishaan Menon","Circuit Theory",0,1
"Nikhil Sharma","Circuit Theory",1,1
"Ritesh Agarwal","Circuit Theory",0,1
"Aman Kapoor","Circuit Theory",1,1
"Aditi Iyer","Circuit Theory",0,1
"Neha Mehta","Circuit Theory",2,2
"Harsh Khanna","Circuit Theory",1,1
"Yash Rao","Circuit Theory",2,2
"Sai Gupta","Circuit Theory",1,1
"Ritika Mehta","Circuit Theory",1,1
"Varun Choudhary","Circuit Theory",1,1
"Ishaan Reddy","Circuit Theory",1,1
"Ananya Verma","Circuit Theory",1,1
"Aarav Nair","Circuit Theory",1,1
"Harsh Menon","Circuit Theory",1,1
"Rahul Bansal","Circuit Theory",1,1
"Nikhil Pandey","Circuit Theory",1,1
"Deepak Iyer","Circuit Theory",1,1
"Aarav Khanna","Circuit Theory",1,1
"Kavya Pandey","Circuit Theory",1,1
"Ishaan Thakur","Circuit Theory",1,1
"Pooja Khanna","Circuit Theory",1,1
"Rahul Joshi","Circuit Theory",1,1
"Kunal Mehta","Circuit Theory",1,1
"Neha Gupta","Circuit Theory",0,1
"Rahul Mehta","Circuit Theory",1,1
"Diya Iyer","Circuit Theory",1,1
"Yash Verma","Circuit Theory",0,1
"Varun Verma","Circuit Theory",1,1
"Mohit Nair","Circuit Theory",1,1
"Rohan Nair","Circuit Theory",1,1
"Mohit Dubey","Circuit Theory",1,1
"Harsh Choudhary","Circuit Theory",1,1
"Siddharth Bansal","Circuit Theory",1,1
"Rohan Bansal","Circuit Theory",1,1
"Rahul Choudhary","Circuit Theory",1,1
"Neha Das","Circuit Theory",1,1
"Nikhil Das","Circuit Theory",1,1
"Vivaan Khanna","Circuit Theory",0,1
"Kunal Sinha","Circuit Theory",1,1
"Ananya Bansal","Circuit Theory",1,2
"Deepak Thakur","Circuit Theory",1,1
"Siddharth Mehta","Circuit Theory",1,1
"Ananya Sharma","Circuit Theory",1,1
"Aarav Ghosh","Circuit Theory",1,1
"Rahul Patel","Circuit Theory",1,1
"Varun Khanna","Circuit Theory",0,1
"Siddharth Iyer","Circuit Theory",1,1
"Yash Gupta","Circuit Theory",1,1
"Dev Nair","Circuit Theory",0,1
"Aditi Menon","Circuit Theory",1,1
"Pooja Sinha","Circuit Theory",0,1
"Deepak Menon","Circuit Theory",1,1
"Aman Gupta","Circuit Theory",0,1
"Diya Mehta","Circuit Theory",1,1
"Rohan Jain","Circuit Theory",1,1
"Varun Pandey","Circuit Theory",1,1
"Yash Sinha","Circuit Theory",0,1
"Deepak Ghosh","Circuit Theory",1,1
"Sai Ghosh","Circuit Theory",0,1
"Nikhil Menon","Circuit Theory",1,1
"Kavya Mehta","Circuit Theory",1,1
"Ritesh Kapoor","Circuit Theory",1,1
"Ananya Ghosh","Circuit Theory",0,1
"Sneha Sinha","Circuit Theory",0,1
"Ritesh Khanna","Circuit Theory",1,1
"Sneha Thakur","Tool Engineering",1,1
"Siddharth Gupta","Tool Engineering",1,1
"Meera Mehta","Tool Engineering",1,2
"Rohan Rao","Tool Engineering",3,3
"Kavya Menon","Tool Engineering",1,1
"Vivaan Nair","Tool Engineering",2,2
"Om Mehta","Tool Engineering",0,1
"Aarav Dubey","Tool Engineering",1,1
"Kunal Reddy","Tool Engineering",1,1
"Varun Gupta","Tool Engineering",1,1
"Ritesh Agarwal","Tool Engineering",1,1
"Siddharth Bansal","Tool Engineering",1,1
"Yash Jain","Tool Engineering",1,1
"Siddharth Joshi","Tool Engineering",1,1
"Tanmay Dubey","Tool Engineering",2,2
"Om Ghosh","Tool Engineering",1,1
"Aarav Gupta","Tool Engineering",1,2
"Sneha Das","Tool Engineering",1,1
"Deepak Kapoor","Tool Engineering",1,1
"Aman Menon","Tool Engineering",1,1
"Harsh Kapoor","Tool Engineering",0,1
"Ritika Pandey","Tool Engineering",0,1
"Aditya Ghosh","Tool Engineering",1,2
"Arjun Sinha","Tool Engineering",1,2
"Rohan Sharma","Tool Engineering",1,1
"Manav Khanna","Tool Engineering",2,3
"Rahul Ghosh","Tool Engineering",1,3
"Nikhil Ghosh","Tool Engineering",1,2
"Kunal Joshi","Tool Engineering",1,1
"Yash Thakur","Tool Engineering",1,1
"Rohan Reddy","Tool Engineering",0,1
"Aarav Rao","Tool Engineering",2,2
"Siddharth Choudhary","Tool Engineering",1,1
"Kunal Dubey","Tool Engineering",1,1
"Tanmay Reddy","Tool Engineering",1,1
"Aman Reddy","Tool Engineering",1,1
"Aditi Joshi","Tool Engineering",1,1
"Dev Iyer","Tool Engineering",2,2
"Aman Jain","Tool Engineering",1,1
"Ritika Khanna","Tool Engineering",1,1
"Neha Patel","Tool Engineering",1,1
"Om Pandey","Tool Engineering",1,1
"Tanmay Ghosh","Tool Engineering",1,2
"Deepak Agarwal","Tool Engineering",1,1
"Aditya Choudhary","Tool Engineering",1,1
"Sneha Joshi","Tool Engineering",1,1
"Rohan Gupta","Tool Engineering",0,1
"Siddharth Kapoor","Tool Engineering",1,1
"Deepak Mehta","Tool Engineering",1,1
"Rohan Mehta","Tool Engineering",1,1
"Nikhil Khanna","Tool Engineering",1,1
"Aditya Dubey","Tool Engineering",1,1
"Rohan Iyer","Tool Engineering",1,1
"Ananya Jain","Tool Engineering",1,1
"Tanmay Rao","Tool Engineering",0,1
"Meera Ghosh","Tool Engineering",1,2
"Tanmay Sharma","Tool Engineering",1,2
"Manav Ghosh","Tool Engineering",1,1
"Vivaan Bansal","Tool Engineering",2,3
"Om Agarwal","Tool Engineering",1,1
"Aditya Thakur","Tool Engineering",1,1
"Ritika Verma","Tool Engineering",2,2
"Diya Sharma","Tool Engineering",1,1
"Rohan Das","Tool Engineering",1,1
"Aditya Iyer","Tool Engineering",2,2
"Nikhil Mehta","Tool Engineering",1,1
"Aman Agarwal","Tool Engineering",0,1
"Varun Thakur","Tool Engineering",1,1
"Pooja Menon","Tool Engineering",0,1
"Sai Rao","Tool Engineering",1,2
"Diya Agarwal","Tool Engineering",0,1
"Ishaan Patel","Tool Engineering",1,1
"Meera Pandey","Tool Engineering",1,1
"Vivaan Patel","Tool Engineering",1,2
"Neha Das","Tool Engineering",1,1
"Sai Gupta","Tool Engineering",1,1
"Varun Agarwal","Tool Engineering",1,2
"Om Das","Tool Engineering",0,1
"Kavya Patel","Tool Engineering",1,1
"Varun Khanna","Tool Engineering",1,1
"Rahul Sharma","Tool Engineering",1,1
"Diya Choudhary","Tool Engineering",0,1
"Rohan Jain","Tool Engineering",1,1
"Deepak Menon","Tool Engineering",1,1
"Sneha Pandey","Tool Engineering",1,1
"Aarav Mehta","Tool Engineering",1,1
"Arjun Sharma","Tool Engineering",1,1
"Manav Agarwal","Tool Engineering",1,1
"Arjun Reddy","Tool Engineering",1,1
"Neha Bansal","Tool Engineering",1,1
"Deepak Iyer","Tool Engineering",0,1
"Arjun Ghosh","Tool Engineering",1,1
"Manav Menon","Tool Engineering",1,1
"Arjun Thakur","Tool Engineering",1,1
"Ritika Iyer","Tool Engineering",1,1
"Kunal Mehta","Tool Engineering",0,2
"Om Nair","Tool Engineering",1,1
"Aman Thakur","Tool Engineering",1,2
"Arjun Gupta","Tool Engineering",1,1
"Siddharth Thakur","Tool Engineering",0,1
"Siddharth Reddy","Tool Engineering",1,1
"Tanmay Das","Tool Engineering",2,2
"Meera Nair","Tool Engineering",1,1
"Manav Sinha","Tool Engineering",1,1
"Arjun Choudhary","Tool Engineering",1,1
"Dev Sharma","Tool Engineering",0,1
"Sneha Khanna","Tool Engineering",1,1
"Pooja Das","Tool Engineering",0,1
"Vivaan Mehta","Tool Engineering",1,1
"Siddharth Pandey","Tool Engineering",1,1
"Sai Agarwal","Tool Engineering",0,1
"Sneha Kapoor","Tool Engineering",1,1
"Nikhil Dubey","Tool Engineering",0,1
"Varun Dubey","Tool Engineering",0,1
"Aarav Thakur","Tool Engineering",0,1
"Kunal Sinha","Tool Engineering",1,1
"Dev Ghosh","Tool Engineering",1,1
"Arjun Dubey","Tool Engineering",1,1
"Manav Verma","Tool Engineering",0,1
"Yash Reddy","Tool Engineering",1,1
"Siddharth Sinha","Tool Engineering",1,1
"Nikhil Kapoor","Tool Engineering",1,1
"Yash Mehta","Tool Engineering",1,1
"Deepak Pandey","Electrical Machines",1,1
"Mohit Dubey","Electrical Machines",0,1
"Dev Verma","Electrical Machines",1,1
"Arjun Ghosh","Electrical Machines",0,1
"Kavya Dubey","Electrical Machines",0,1
"Harsh Thakur","Electrical Machines",0,1
"Aman Verma","Electrical Machines",1,1
"Rohan Dubey","Electrical Machines",1,1
"Sneha Dubey","Electrical Machines",1,2
"Sai Joshi","Electrical Machines",1,1
"Meera Ghosh","Electrical Machines",1,1
"Aarav Pandey","Electrical Machines",1,2
"Siddharth Bansal","Electrical Machines",1,1
"Meera Das","Electrical Machines",1,1
"Mohit Kapoor","Electrical Machines",1,1
"Tanmay Verma","Electrical Machines",1,1
"Om Mehta","Electrical Machines",1,1
"Ishaan Khanna","Electrical Machines",1,2
"Deepak Menon","Electrical Machines",2,2
"Ritika Kapoor","Electrical Machines",1,1
"Varun Das","Electrical Machines",2,2
"Dev Kapoor","Electrical Machines",1,1
"Mohit Sinha","Electrical Machines",3,3
"Mohit Jain","Electrical Machines",1,1
"Kunal Choudhary","Electrical Machines",0,1
"Rahul Choudhary","Electrical Machines",1,2
"Harsh Verma","Electrical Machines",1,1
"Kavya Reddy","Electrical Machines",2,2
"Deepak Gupta","Electrical Machines",1,1
"Rohan Iyer","Electrical Machines",1,1
"Rahul Verma","Electrical Machines",2,2
"Ritesh Khanna","Electrical Machines",0,1
"Aman Patel","Electrical Machines",0,2
"Nikhil Reddy","Electrical Machines",1,1
"Aman Kapoor","Electrical Machines",1,1
"Sneha Das","Electrical Machines",0,2
"Nikhil Choudhary","Electrical Machines",1,1
"Aditya Reddy","Electrical Machines",1,1
"Sai Khanna","Electrical Machines",1,1
"Nikhil Thakur","Electrical Machines",1,2
"Meera Patel","Electrical Machines",1,1
"Sneha Choudhary","Electrical Machines",1,1
"Ritesh Das","Electrical Machines",1,1
"Vivaan Jain","Electrical Machines",2,2
"Ishaan Dubey","Electrical Machines",0,1
"Sai Reddy","Electrical Machines",0,1
"Aman Choudhary","Electrical Machines",2,2
"Siddharth Reddy","Electrical Machines",1,1
"Rohan Bansal","Electrical Machines",1,1
"Neha Das","Electrical Machines",1,1
"Arjun Sinha","Electrical Machines",1,1
"Priya Pandey","Electrical Machines",1,1
"Siddharth Patel","Electrical Machines",1,1
"Aditi Dubey","Electrical Machines",3,3
"Dev Pandey","Electrical Machines",1,1
"Priya Thakur","Electrical Machines",1,1
"Kavya Ghosh","Electrical Machines",1,1
"Arjun Pandey","Electrical Machines",2,2
"Dev Das","Electrical Machines",1,1
"Krishna Reddy","Electrical Machines",1,1
"Sai Ghosh","Electrical Machines",1,1
"Siddharth Sinha","Electrical Machines",1,1
"Ritika Reddy","Electrical Machines",1,1
"Sneha Joshi","Electrical Machines",0,1
"Ishaan Mehta","Electrical Machines",1,1
"Varun Patel","Electrical Machines",1,1
"Tanmay Kapoor","Electrical Machines",1,1
"Varun Choudhary","Electrical Machines",1,1
"Sai Jain","Electrical Machines",1,1
"Ananya Iyer","Electrical Machines",0,1
"Sneha Nair","Electrical Machines",2,2
"Aditi Thakur","Electrical Machines",1,2
"Rohan Sinha","Electrical Machines",1,1
"Rohan Gupta","Electrical Machines",1,2
"Om Verma","Electrical Machines",1,1
"Deepak Iyer","Electrical Machines",1,2
"Dev Bansal","Electrical Machines",1,1
"Tanmay Sharma","Electrical Machines",1,1
"Pooja Pandey","Electrical Machines",1,1
"Dev Thakur","Electrical Machines",1,1
"Rohan Thakur","Electrical Machines",0,1
"Siddharth Agarwal","Electrical Machines",1,1
"Vivaan Agarwal","Electrical Machines",1,1
"Deepak Nair","Electrical Machines",1,1
"Ananya Jain","Electrical Machines",1,1
"Rohan Pandey","Electrical Machines",1,1
"Om Gupta","Electrical Machines",2,2
"Priya Patel","Electrical Machines",1,2
"Mohit Iyer","Electrical Machines",0,1
"Neha Ghosh","Electrical Machines",1,1
"Deepak Joshi","Electrical Machines",1,1
"Vivaan Joshi","Electrical Machines",1,1
"Priya Reddy","Electrical Machines",1,1
"Varun Khanna","Electrical Machines",1,1
"Kavya Thakur","Electrical Machines",1,1
"Vivaan Bansal","Electrical Machines",1,1
"Sneha Jain","Electrical Machines",1,1
"Dev Gupta","Electrical Machines",1,1
"Krishna Mehta","Electrical Machines",2,2
"Ananya Rao","Electrical Machines",0,1
"Ritesh Iyer","Electrical Machines",1,1
"Ananya Agarwal","Electrical Machines",0,1
"Neha Sharma","Electrical Machines",1,1
"Deepak Kapoor","Electrical Machines",2,2
"Aman Thakur","Electrical Machines",1,1
"Aditya Verma","Electrical Machines",0,1
"Dev Menon","Electrical Machines",1,1
"Varun Reddy","Electrical Machines",1,1
"Dev Ghosh","Electrical Machines",1,1
"Aditi Iyer","Electrical Machines",0,1
"Mohit Agarwal","Electrical Machines",1,1
"Sneha Reddy","Electrical Machines",1,1
"Pooja Joshi","Electrical Machines",1,1
"Kunal Thakur","Electrical Machines",1,1
"Kunal Dubey","Electrical Machines",1,1
"Tanmay Rao","Electrical Machines",1,1
"Meera Choudhary","Electrical Machines",1,1
"Harsh Sinha","Electrical Machines",2,2
"Varun Bansal","Electrical Machines",1,1
"Sai Mehta","Electrical Machines",1,1
"Krishna Kapoor","Electrical Machines",1,1
"Om Dubey","Electrical Machines",1,1
"Kavya Pandey","Full Stack Development",1,1
"Yash Bansal","Full Stack Development",1,2
"Aditya Mehta","Full Stack Development",1,1
"Varun Iyer","Full Stack Development",1,1
"Sneha Ghosh","Full Stack Development",0,1
"Meera Iyer","Full Stack Development",1,1
"Mohit Choudhary","Full Stack Development",1,1
"Aman Thakur","Full Stack Development",1,1
"Deepak Reddy","Full Stack Development",2,2
"Om Ghosh","Full Stack Development",0,1
"Om Thakur","Full Stack Development",1,1
"Mohit Thakur","Full Stack Development",1,1
"Rahul Patel","Full Stack Development",1,1
"Siddharth Das","Full Stack Development",0,1
"Mohit Nair","Full Stack Development",0,1
"Ananya Reddy","Full Stack Development",1,1
"Nikhil Sharma","Full Stack Development",1,1
"Deepak Choudhary","Full Stack Development",2,2
"Om Choudhary","Full Stack Development",2,2
"Sneha Iyer","Full Stack Development",1,1
"Ishaan Reddy","Full Stack Development",1,1
"Meera Jain","Full Stack Development",4,4
"Rahul Gupta","Full Stack Development",1,1
"Nikhil Bansal","Full Stack Development",1,1
"Meera Agarwal","Full Stack Development",1,1
"Mohit Reddy","Full Stack Development",1,2
"Manav Rao","Full Stack Development",1,1
"Priya Dubey","Full Stack Development",2,3
"Kunal Khanna","Full Stack Development",2,2
"Ritika Joshi","Full Stack Development",1,1
"Mohit Jain","Full Stack Development",0,1
"Yash Iyer","Full Stack Development",0,1
"Rohan Sharma","Full Stack Development",1,1
"Rohan Thakur","Full Stack Development",1,2
"Rohan Patel","Full Stack Development",1,1
"Sai Agarwal","Full Stack Development",0,1
"Priya Das","Full Stack Development",1,1
"Priya Agarwal","Full Stack Development",1,1
"Sneha Pandey","Full Stack Development",0,1
"Tanmay Agarwal","Full Stack Development",1,1
"Priya Khanna","Full Stack Development",1,1
"Sai Ghosh","Full Stack Development",2,2
"Neha Bansal","Full Stack Development",1,1
"Harsh Reddy","Full Stack Development",1,1
"Nikhil Das","Full Stack Development",1,1
"Ananya Iyer","Full Stack Development",1,1
"Priya Choudhary","Full Stack Development",0,1
"Rohan Kapoor","Full Stack Development",1,1
"Yash Joshi","Full Stack Development",1,1
"Kunal Iyer","Full Stack Development",1,1
"Aarav Khanna","Full Stack Development",1,1
"Priya Thakur","Full Stack Development",0,1
"Siddharth Pandey","Full Stack Development",0,1
"Siddharth Mehta","Full Stack Development",1,1
"Tanmay Khanna","Full Stack Development",1,1
"Aarav Nair","Full Stack Development",1,1
"Neha Rao","Full Stack Development",1,1
"Nikhil Gupta","Full Stack Development",1,1
"Yash Gupta","Full Stack Development",1,1
"Pooja Menon","Full Stack Development",0,1
"Pooja Jain","Full Stack Development",1,1
"Siddharth Khanna","Full Stack Development",1,1
"Arjun Nair","Full Stack Development",1,1
"Tanmay Das","Full Stack Development",1,1
"Kavya Iyer","Full Stack Development",1,1
"Dev Ghosh","Full Stack Development",1,1
"Vivaan Patel","Full Stack Development",1,1
"Neha Verma","Full Stack Development",1,1
"Ritika Verma","Full Stack Development",1,1
"Aarav Kapoor","Full Stack Development",1,1
"Aditi Reddy","Full Stack Development",1,2
"Harsh Menon","Full Stack Development",1,1
"Om Menon","Full Stack Development",3,3
"Sai Khanna","Full Stack Development",1,1
"Rohan Pandey","Full Stack Development",1,1
"Ananya Menon","Full Stack Development",1,1
"Aarav Mehta","Full Stack Development",0,1
"Diya Joshi","Full Stack Development",0,1
"Priya Ghosh","Full Stack Development",1,1
"Harsh Bansal","Full Stack Development",0,1
"Aditi Pandey","Full Stack Development",1,1
"Rahul Sinha","Full Stack Development",0,1
"Diya Reddy","Full Stack Development",1,1
"Siddharth Nair","Full Stack Development",1,1
"Kunal Das","Full Stack Development",1,1
"Dev Iyer","Full Stack Development",0,1
"Vivaan Joshi","Full Stack Development",1,1
"Dev Menon","Full Stack Development",1,1
"Deepak Gupta","Full Stack Development",1,1
"Siddharth Bansal","Full Stack Development",1,1
"Aarav Verma","Full Stack Development",1,1
"Manav Iyer","Full Stack Development",0,1
"Sai Das","Full Stack Development",1,1
"Kavya Bansal","Full Stack Development",0,1
"Sneha Menon","Full Stack Development",1,1
"Ananya Thakur","Full Stack Development",1,1
"Neha Sinha","Full Stack Development",2,2
"Yash Pandey","Full Stack Development",1,1
"Varun Das","Full Stack Development",1,1
"Varun Thakur","Full Stack Development",1,1
"Sai Thakur","Full Stack Development",1,1
"Ananya Rao","Full Stack Development",0,1
"Meera Sinha","Object Oriented Programming",1,1
"Dev Gupta","Object Oriented Programming",1,1
"Ananya Thakur","Object Oriented Programming",1,1
"Yash Thakur","Object Oriented Programming",0,1
"Nikhil Kapoor","Object Oriented Programming",1,2
"Sai Dubey","Object Oriented Programming",2,2
"Ishaan Mehta","Object Oriented Programming",3,3
"Kunal Joshi","Object Oriented Programming",0,1
"Rahul Agarwal","Object Oriented Programming",1,1
"Pooja Khanna","Object Oriented Programming",1,1
"Harsh Sharma","Object Oriented Programming",1,1
"Siddharth Pandey","Object Oriented Programming",3,3
"Ritika Reddy","Object Oriented Programming",1,1
"Ishaan Iyer","Object Oriented Programming",1,1
"Deepak Menon","Object Oriented Programming",1,1
"Manav Gupta","Object Oriented Programming",1,1
"Rohan Pandey","Object Oriented Programming",1,2
"Yash Nair","Object Oriented Programming",1,1
"Sneha Ghosh","Object Oriented Programming",0,1
"Tanmay Thakur","Object Oriented Programming",2,2
"Sai Khanna","Object Oriented Programming",1,1
"Sai Jain","Object Oriented Programming",1,2
"Mohit Das","Object Oriented Programming",1,1
"Sai Rao","Object Oriented Programming",1,1
"Priya Menon","Object Oriented Programming",1,1
"Krishna Thakur","Object Oriented Programming",1,2
"Rohan Agarwal","Object Oriented Programming",0,1
"Nikhil Mehta","Object Oriented Programming",1,2
"Rahul Verma","Object Oriented Programming",1,1
"Nikhil Reddy","Object Oriented Programming",1,1
"Neha Reddy","Object Oriented Programming",2,2
"Rohan Patel","Object Oriented Programming",1,1
"Aman Sinha","Object Oriented Programming",1,1
"Siddharth Nair","Object Oriented Programming",1,2
"Tanmay Khanna","Object Oriented Programming",1,1
"Pooja Thakur","Object Oriented Programming",2,2
"Yash Ghosh","Object Oriented Programming",1,1
"Pooja Agarwal","Object Oriented Programming",1,2
"Harsh Mehta","Object Oriented Programming",1,1
"Vivaan Kapoor","Object Oriented Programming",1,1
"Aditya Joshi","Object Oriented Programming",1,1
"Neha Menon","Object Oriented Programming",1,1
"Neha Sinha","Object Oriented Programming",1,1
"Aditya Das","Object Oriented Programming",1,1
"Pooja Jain","Object Oriented Programming",1,2
"Tanmay Choudhary","Object Oriented Programming",2,2
"Meera Agarwal","Object Oriented Programming",1,1
"Kunal Sinha","Object Oriented Programming",2,2
"Kavya Choudhary","Object Oriented Programming",1,1
"Siddharth Rao","Object Oriented Programming",2,2
"Vivaan Verma","Object Oriented Programming",1,2
"Nikhil Bansal","Object Oriented Programming",1,1
"Kavya Sinha","Object Oriented Programming",1,1
"Ananya Gupta","Object Oriented Programming",1,1
"Krishna Mehta","Object Oriented Programming",1,1
"Rohan Reddy","Object Oriented Programming",2,2
"Aman Ghosh","Object Oriented Programming",3,3
"Priya Choudhary","Object Oriented Programming",1,1
"Krishna Kapoor","Object Oriented Programming",1,1
"Varun Thakur","Object Oriented Programming",1,1
"Pooja Dubey","Object Oriented Programming",1,1
"Ritesh Kapoor","Object Oriented Programming",1,1
"Aarav Thakur","Object Oriented Programming",1,1
"Ritesh Khanna","Object Oriented Programming",0,1
"Kavya Reddy","Object Oriented Programming",0,1
"Harsh Choudhary","Object Oriented Programming",1,1
"Harsh Dubey","Object Oriented Programming",1,1
"Aditi Mehta","Object Oriented Programming",1,1
"Aarav Dubey","Object Oriented Programming",1,1
"Priya Das","Object Oriented Programming",0,1
"Krishna Verma","Object Oriented Programming",1,1
"Diya Bansal","Object Oriented Programming",2,2
"Diya Thakur","Object Oriented Programming",2,2
"Priya Joshi","Object Oriented Programming",1,1
"Tanmay Gupta","Object Oriented Programming",1,1
"Kavya Patel","Object Oriented Programming",1,1
"Ananya Reddy","Object Oriented Programming",2,2
"Pooja Nair","Object Oriented Programming",1,1
"Dev Jain","Object Oriented Programming",1,1
"Nikhil Menon","Object Oriented Programming",0,1
"Pooja Joshi","Object Oriented Programming",3,3
"Dev Kapoor","Object Oriented Programming",1,1
"Ishaan Menon","Object Oriented Programming",1,1
"Neha Das","Object Oriented Programming",1,1
"Arjun Nair","Object Oriented Programming",1,1
"Aditi Sinha","Object Oriented Programming",1,2
"Dev Bansal","Object Oriented Programming",1,1
"Aarav Gupta","Object Oriented Programming",1,1
"Om Joshi","Object Oriented Programming",2,2
"Ishaan Sharma","Object Oriented Programming",1,1
"Rahul Jain","Object Oriented Programming",1,1
"Aditi Patel","Object Oriented Programming",1,1
"Deepak Reddy","Object Oriented Programming",1,1
"Siddharth Patel","Object Oriented Programming",0,1
"Ritika Joshi","Object Oriented Programming",0,1
"Sneha Patel","Object Oriented Programming",1,1
"Rahul Das","Object Oriented Programming",2,2
"Deepak Sinha","Object Oriented Programming",1,1
"Om Gupta","Object Oriented Programming",1,1
"Manav Rao","Object Oriented Programming",0,1
"Priya Iyer","Object Oriented Programming",1,1
"Kavya Joshi","Object Oriented Programming",0,1
"Neha Sharma","Object Oriented Programming",1,1
"Tanmay Agarwal","Object Oriented Programming",1,1
"Dev Rao","Object Oriented Programming",1,1
"Krishna Iyer","Object Oriented Programming",1,1
"Ananya Dubey","Object Oriented Programming",1,1
"Arjun Sharma","Object Oriented Programming",1,1
"Rohan Mehta","Object Oriented Programming",1,1
"Aditi Khanna","Object Oriented Programming",0,1
"Aditi Verma","Object Oriented Programming",1,2
"Aarav Kapoor","Object Oriented Programming",1,1
"Mohit Iyer","Object Oriented Programming",1,1
"Ananya Das","Object Oriented Programming",1,1
"Diya Reddy","Object Oriented Programming",1,1
"Meera Rao","Object Oriented Programming",0,1
"Ananya Bansal","Object Oriented Programming",0,1
"Vivaan Gupta","Object Oriented Programming",1,1
"Sai Ghosh","Object Oriented Programming",1,1
"Ritesh Ghosh","Object Oriented Programming",0,1
"Ritika Verma","Object Oriented Programming",0,1
"Nikhil Pandey","Object Oriented Programming",1,1
"Manav Patel","Object Oriented Programming",0,1
"Tanmay Reddy","Object Oriented Programming",1,1
"Arjun Joshi","Object Oriented Programming",0,1
"Manav Khanna","Object Oriented Programming",1,1
"Mohit Dubey","Object Oriented Programming",1,1
"Meera Patel","Object Oriented Programming",1,1
"Aman Dubey","Object Oriented Programming",1,1
"Tanmay Jain","Object Oriented Programming",1,1
"Yash Pandey","Object Oriented Programming",0,1
"Yash Rao","Object Oriented Programming",1,1
"Varun Dubey","Object Oriented Programming",0,1
"Tanmay Kapoor",Mechatronics,2,2
"Om Nair",Mechatronics,1,1
"Harsh Sinha",Mechatronics,1,1
"Aditi Khanna",Mechatronics,2,2
"Neha Rao",Mechatronics,2,2
"Rohan Sinha",Mechatronics,1,1
"Mohit Patel",Mechatronics,1,1
"Ritesh Agarwal",Mechatronics,1,2
"Ananya Rao",Mechatronics,1,1
"Siddharth Dubey",Mechatronics,1,1
"Aarav Rao",Mechatronics,1,1
"Om Kapoor",Mechatronics,1,1
"Kavya Gupta",Mechatronics,1,1
"Nikhil Joshi",Mechatronics,1,1
